"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2016","159.77","159.34","160.12","159.12","729.32K","0.24%"
"Jan 12, 2016","159.39","159.36","159.67","158.70","721.68K","0.03%"
"Jan 11, 2016","159.35","159.77","159.80","159.15","524.36K","-0.19%"
"Jan 08, 2016","159.66","159.30","159.85","159.07","549.42K","0.30%"
"Jan 07, 2016","159.18","159.95","160.19","159.04","779.52K","-0.32%"
"Jan 06, 2016","159.69","159.20","159.92","159.17","504.84K","0.40%"
"Jan 05, 2016","159.05","158.47","159.25","158.45","501.29K","0.16%"
"Jan 04, 2016","158.79","158.39","158.95","158.33","452.96K","0.55%"
"Dec 30, 2015","157.92","157.70","158.22","157.65","256.67K","0.03%"
"Dec 29, 2015","157.88","158.76","158.88","157.52","275.44K","-0.64%"
"Dec 28, 2015","158.89","158.00","159.00","157.88","171.65K","0.57%"
"Dec 24, 2015","157.99","157.99","157.99","157.99","-","0.10%"
"Dec 23, 2015","157.84","158.41","158.56","157.81","214.51K","-0.29%"
"Dec 22, 2015","158.30","158.96","159.08","158.26","307.79K","-0.45%"
"Dec 21, 2015","159.02","159.01","159.28","158.57","277.41K","0.01%"
"Dec 18, 2015","159.01","158.58","159.20","158.50","436.13K","0.43%"
"Dec 17, 2015","158.33","157.61","158.50","157.51","551.67K","0.64%"
"Dec 16, 2015","157.32","157.65","157.95","156.78","466.29K","-0.11%"
"Dec 15, 2015","157.49","158.65","158.71","157.33","723.02K","-0.78%"
"Dec 14, 2015","158.73","159.06","159.21","158.51","549.57K","-0.28%"
"Dec 11, 2015","159.18","158.57","159.36","158.56","462.03K","0.26%"
"Dec 10, 2015","158.77","158.55","158.97","158.36","440.38K","0.32%"
"Dec 09, 2015","158.26","158.74","158.83","158.13","508.02K","0.84%"
"Dec 08, 2015","156.94","156.55","157.11","156.55","19.77K","0.01%"
"Dec 07, 2015","156.93","155.73","157.12","155.70","299.22K","0.78%"
"Dec 04, 2015","155.71","155.54","156.21","155.03","1.27M","-0.26%"
"Dec 03, 2015","156.11","158.30","158.63","155.17","1.55M","-1.47%"
"Dec 02, 2015","158.44","158.42","158.75","158.24","1.16M","-0.03%"
"Dec 01, 2015","158.48","158.24","158.61","157.72","939.37K","0.11%"
"Nov 30, 2015","158.31","158.45","158.53","158.15","599.57K","-0.18%"
"Nov 27, 2015","158.59","158.42","158.78","158.30","499.66K","0.18%"
"Nov 26, 2015","158.30","158.31","158.47","158.15","284.17K","0.02%"
"Nov 25, 2015","158.27","157.67","158.34","157.53","674.57K","0.30%"
"Nov 24, 2015","157.79","157.63","158.01","157.43","700.49K","0.29%"
"Nov 23, 2015","157.34","157.84","157.98","157.15","695.28K","-0.43%"
"Nov 20, 2015","158.02","157.96","158.19","157.78","485.67K","0.00%"
"Nov 19, 2015","158.02","157.78","158.10","157.64","584.60K","0.21%"
"Nov 18, 2015","157.69","157.60","157.85","157.34","608.23K","0.23%"
"Nov 17, 2015","157.33","157.25","157.72","157.18","512.93K","0.01%"
"Nov 16, 2015","157.31","157.29","157.39","156.78","572.72K","0.25%"
"Nov 13, 2015","156.92","156.33","157.09","156.32","604.44K","0.38%"
"Nov 12, 2015","156.33","156.25","156.61","156.17","564.24K","0.00%"
"Nov 11, 2015","156.33","156.07","156.60","155.92","551.19K","0.17%"
"Nov 10, 2015","156.07","155.69","156.21","155.46","714.82K","0.42%"
"Nov 09, 2015","155.42","155.16","155.68","154.81","813.55K","0.15%"
"Nov 06, 2015","155.18","156.38","156.51","155.03","881.78K","-0.70%"
"Nov 05, 2015","156.28","156.44","156.62","156.11","720.79K","-0.04%"
"Nov 04, 2015","156.34","156.61","156.94","156.21","649.96K","-0.17%"
"Nov 03, 2015","156.60","156.77","157.07","156.43","495.36K","-0.05%"
"Nov 02, 2015","156.68","157.43","157.44","156.50","600.09K","-0.34%"
